longitud;latitud;parametro;abrebiatura;descripcion;anio-mes-dia;valor;categoria
-3.712222;40.424167;08;NO2;DIOXIDO_DE_NITROGENO;2011-08-01;24;24
-3.677222;40.451667;08;NO2;DIOXIDO_DE_NITROGENO;2011-06-01;22;24
-3.639167;40.440000;08;NO2;DIOXIDO_DE_NITROGENO;2011-06-01;17;24
-3.705000;40.346944;08;NO2;DIOXIDO_DE_NITROGENO;2011-06-01;13;24
-3.705000;40.346944;08;NO2;DIOXIDO_DE_NITROGENO;2011-08-01;24;24
-3.705000;40.346944;08;NO2;DIOXIDO_DE_NITROGENO;2011-09-01;22;24
-3.731944;40.394722;08;NO2;DIOXIDO_DE_NITROGENO;2011-06-01;18;24
-3.731944;40.394722;08;NO2;DIOXIDO_DE_NITROGENO;2011-09-01;16;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2011-03-01;20;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2011-05-01;13;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2011-06-01;11;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2011-07-01;17;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2011-08-01;12;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2011-09-01;10;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2011-10-01;21;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2011-12-01;17;24
-3.575000;40.474722;08;NO2;DIOXIDO_DE_NITROGENO;2011-03-01;24;24
-3.575000;40.474722;08;NO2;DIOXIDO_DE_NITROGENO;2011-06-01;11;24
-3.575000;40.474722;08;NO2;DIOXIDO_DE_NITROGENO;2011-08-01;22;24
-3.645278;40.408056;08;NO2;DIOXIDO_DE_NITROGENO;2011-06-01;17;24
-3.711389;40.478333;08;NO2;DIOXIDO_DE_NITROGENO;2011-05-01;24;24
-3.711389;40.478333;08;NO2;DIOXIDO_DE_NITROGENO;2011-06-01;19;24
-3.711389;40.478333;08;NO2;DIOXIDO_DE_NITROGENO;2011-08-01;24;24
-3.711389;40.478333;08;NO2;DIOXIDO_DE_NITROGENO;2011-09-01;23;24
-3.651389;40.388056;08;NO2;DIOXIDO_DE_NITROGENO;2011-06-01;18;24
-3.686667;40.398056;08;NO2;DIOXIDO_DE_NITROGENO;2011-08-01;19;24
-3.686667;40.398056;08;NO2;DIOXIDO_DE_NITROGENO;2011-09-01;17;24
-3.685556;40.409722;08;NO2;DIOXIDO_DE_NITROGENO;2011-06-01;20;24
-3.685556;40.409722;08;NO2;DIOXIDO_DE_NITROGENO;2011-08-01;21;24
-3.685556;40.409722;08;NO2;DIOXIDO_DE_NITROGENO;2011-09-01;16;24
-3.611944;40.372778;08;NO2;DIOXIDO_DE_NITROGENO;2011-08-01;13;24
-3.611944;40.372778;08;NO2;DIOXIDO_DE_NITROGENO;2011-09-01;17;24
-3.611944;40.372778;08;NO2;DIOXIDO_DE_NITROGENO;2011-11-01;18;24
-3.660278;40.494167;08;NO2;DIOXIDO_DE_NITROGENO;2011-05-01;22;24
-3.660278;40.494167;08;NO2;DIOXIDO_DE_NITROGENO;2011-06-01;12;24
-3.774444;40.518056;08;NO2;DIOXIDO_DE_NITROGENO;2011-01-01;21;24
-3.774444;40.518056;08;NO2;DIOXIDO_DE_NITROGENO;2011-03-01;22;24
-3.774444;40.518056;08;NO2;DIOXIDO_DE_NITROGENO;2011-04-01;23;24
-3.774444;40.518056;08;NO2;DIOXIDO_DE_NITROGENO;2011-05-01;07;24
-3.774444;40.518056;08;NO2;DIOXIDO_DE_NITROGENO;2011-06-01;10;24
-3.774444;40.518056;08;NO2;DIOXIDO_DE_NITROGENO;2011-07-01;16;24
-3.774444;40.518056;08;NO2;DIOXIDO_DE_NITROGENO;2011-08-01;13;24
-3.774444;40.518056;08;NO2;DIOXIDO_DE_NITROGENO;2011-09-01;15;24
-3.774444;40.518056;08;NO2;DIOXIDO_DE_NITROGENO;2011-10-01;15;24
-3.774444;40.518056;08;NO2;DIOXIDO_DE_NITROGENO;2011-12-01;24;24
-3.608889;40.465000;08;NO2;DIOXIDO_DE_NITROGENO;2011-03-01;18;24
-3.608889;40.465000;08;NO2;DIOXIDO_DE_NITROGENO;2011-05-01;21;24
-3.608889;40.465000;08;NO2;DIOXIDO_DE_NITROGENO;2011-06-01;10;24
-3.608889;40.465000;08;NO2;DIOXIDO_DE_NITROGENO;2011-07-01;21;24
-3.608889;40.465000;08;NO2;DIOXIDO_DE_NITROGENO;2011-08-01;14;24
-3.608889;40.465000;08;NO2;DIOXIDO_DE_NITROGENO;2011-09-01;12;24
-3.608889;40.465000;08;NO2;DIOXIDO_DE_NITROGENO;2011-10-01;16;24
-3.608889;40.465000;08;NO2;DIOXIDO_DE_NITROGENO;2011-12-01;24;24
-3.689722;40.500556;08;NO2;DIOXIDO_DE_NITROGENO;2011-05-01;20;24
-3.689722;40.500556;08;NO2;DIOXIDO_DE_NITROGENO;2011-06-01;16;24
-3.689722;40.500556;08;NO2;DIOXIDO_DE_NITROGENO;2011-08-01;18;24
-3.689722;40.500556;08;NO2;DIOXIDO_DE_NITROGENO;2011-09-01;22;24
-3.689722;40.500556;08;NO2;DIOXIDO_DE_NITROGENO;2011-10-01;24;24
-3.712222;40.424167;08;NO2;DIOXIDO_DE_NITROGENO;2012-09-01;17;24
-3.682222;40.421667;08;NO2;DIOXIDO_DE_NITROGENO;2012-09-01;23;24
-3.677222;40.451667;08;NO2;DIOXIDO_DE_NITROGENO;2012-09-01;12;24
-3.639167;40.440000;08;NO2;DIOXIDO_DE_NITROGENO;2012-02-01;21;24
-3.639167;40.440000;08;NO2;DIOXIDO_DE_NITROGENO;2012-09-01;09;24
-3.705000;40.346944;08;NO2;DIOXIDO_DE_NITROGENO;2012-02-01;24;24
-3.705000;40.346944;08;NO2;DIOXIDO_DE_NITROGENO;2012-09-01;08;24
-3.731944;40.394722;08;NO2;DIOXIDO_DE_NITROGENO;2012-01-01;20;24
-3.731944;40.394722;08;NO2;DIOXIDO_DE_NITROGENO;2012-02-01;24;24
-3.731944;40.394722;08;NO2;DIOXIDO_DE_NITROGENO;2012-07-01;24;24
-3.731944;40.394722;08;NO2;DIOXIDO_DE_NITROGENO;2012-09-01;10;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2012-01-01;04;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2012-02-01;13;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2012-04-01;14;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2012-05-01;16;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2012-06-01;16;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2012-07-01;16;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2012-08-01;16;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2012-09-01;07;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2012-11-01;14;24
-3.575000;40.474722;08;NO2;DIOXIDO_DE_NITROGENO;2012-01-01;24;24
-3.575000;40.474722;08;NO2;DIOXIDO_DE_NITROGENO;2012-02-01;20;24
-3.575000;40.474722;08;NO2;DIOXIDO_DE_NITROGENO;2012-07-01;24;24
-3.575000;40.474722;08;NO2;DIOXIDO_DE_NITROGENO;2012-09-01;06;24
-3.703333;40.419167;08;NO2;DIOXIDO_DE_NITROGENO;2012-09-01;19;24
-3.645278;40.408056;08;NO2;DIOXIDO_DE_NITROGENO;2012-02-01;20;24
-3.645278;40.408056;08;NO2;DIOXIDO_DE_NITROGENO;2012-09-01;09;24
-3.706389;40.445278;08;NO2;DIOXIDO_DE_NITROGENO;2012-09-01;16;24
-3.711389;40.478333;08;NO2;DIOXIDO_DE_NITROGENO;2012-02-01;24;24
-3.711389;40.478333;08;NO2;DIOXIDO_DE_NITROGENO;2012-09-01;11;24
-3.651389;40.388056;08;NO2;DIOXIDO_DE_NITROGENO;2012-02-01;21;24
-3.651389;40.388056;08;NO2;DIOXIDO_DE_NITROGENO;2012-09-01;10;24
-3.686667;40.398056;08;NO2;DIOXIDO_DE_NITROGENO;2012-09-01;13;24
-3.690278;40.439722;08;NO2;DIOXIDO_DE_NITROGENO;2012-09-01;09;24
-3.685556;40.409722;08;NO2;DIOXIDO_DE_NITROGENO;2012-01-01;22;24
-3.685556;40.409722;08;NO2;DIOXIDO_DE_NITROGENO;2012-02-01;24;24
-3.685556;40.409722;08;NO2;DIOXIDO_DE_NITROGENO;2012-06-01;24;24
-3.685556;40.409722;08;NO2;DIOXIDO_DE_NITROGENO;2012-07-01;19;24
-3.685556;40.409722;08;NO2;DIOXIDO_DE_NITROGENO;2012-09-01;09;24
-3.688333;40.465833;08;NO2;DIOXIDO_DE_NITROGENO;2012-09-01;12;24
-3.611944;40.372778;08;NO2;DIOXIDO_DE_NITROGENO;2012-01-01;22;24
-3.611944;40.372778;08;NO2;DIOXIDO_DE_NITROGENO;2012-02-01;19;24
-3.611944;40.372778;08;NO2;DIOXIDO_DE_NITROGENO;2012-05-01;21;24
-3.611944;40.372778;08;NO2;DIOXIDO_DE_NITROGENO;2012-06-01;22;24
-3.611944;40.372778;08;NO2;DIOXIDO_DE_NITROGENO;2012-07-01;20;24
-3.611944;40.372778;08;NO2;DIOXIDO_DE_NITROGENO;2012-09-01;10;24
-3.611944;40.372778;08;NO2;DIOXIDO_DE_NITROGENO;2012-11-01;22;24
-3.580556;40.462500;08;NO2;DIOXIDO_DE_NITROGENO;2012-09-01;16;24
-3.660278;40.494167;08;NO2;DIOXIDO_DE_NITROGENO;2012-02-01;24;24
-3.660278;40.494167;08;NO2;DIOXIDO_DE_NITROGENO;2012-06-01;21;24
-3.660278;40.494167;08;NO2;DIOXIDO_DE_NITROGENO;2012-09-01;08;24
-3.774444;40.518056;08;NO2;DIOXIDO_DE_NITROGENO;2012-01-01;19;24
-3.774444;40.518056;08;NO2;DIOXIDO_DE_NITROGENO;2012-02-01;18;24
-3.774444;40.518056;08;NO2;DIOXIDO_DE_NITROGENO;2012-04-01;21;24
-3.774444;40.518056;08;NO2;DIOXIDO_DE_NITROGENO;2012-05-01;16;24
-3.774444;40.518056;08;NO2;DIOXIDO_DE_NITROGENO;2012-06-01;08;24
-3.774444;40.518056;08;NO2;DIOXIDO_DE_NITROGENO;2012-07-01;11;24
-3.774444;40.518056;08;NO2;DIOXIDO_DE_NITROGENO;2012-08-01;12;24
-3.774444;40.518056;08;NO2;DIOXIDO_DE_NITROGENO;2012-09-01;03;24
-3.774444;40.518056;08;NO2;DIOXIDO_DE_NITROGENO;2012-10-01;22;24
-3.774444;40.518056;08;NO2;DIOXIDO_DE_NITROGENO;2012-11-01;08;24
-3.774444;40.518056;08;NO2;DIOXIDO_DE_NITROGENO;2012-12-01;23;24
-3.608889;40.465000;08;NO2;DIOXIDO_DE_NITROGENO;2012-01-01;19;24
-3.608889;40.465000;08;NO2;DIOXIDO_DE_NITROGENO;2012-02-01;09;24
-3.608889;40.465000;08;NO2;DIOXIDO_DE_NITROGENO;2012-05-01;16;24
-3.608889;40.465000;08;NO2;DIOXIDO_DE_NITROGENO;2012-06-01;13;24
-3.608889;40.465000;08;NO2;DIOXIDO_DE_NITROGENO;2012-07-01;17;24
-3.608889;40.465000;08;NO2;DIOXIDO_DE_NITROGENO;2012-08-01;23;24
-3.608889;40.465000;08;NO2;DIOXIDO_DE_NITROGENO;2012-09-01;03;24
