longitud;latitud;parametro;anio-mes-dia;valor
-3.691945;40.409725;83;2003-10-01;16.25
-3.691945;40.409725;83;2003-11-01;10.28
-3.691945;40.409725;83;2003-12-01;4.850
-3.703333;40.419167;01;2003-01-01;10.14
-3.703333;40.419167;01;2003-02-01;24.83
-3.703333;40.419167;01;2003-03-01;10.12
-3.703333;40.419167;01;2003-04-01;00.00N11.10
-3.703333;40.419167;01;2003-05-01;6.760
-3.703333;40.419167;01;2003-06-01;6.960
-3.703333;40.419167;01;2003-07-01;7.360
-3.703333;40.419167;01;2003-08-01;12.45
-3.703333;40.419167;01;2003-09-01;9.160
-3.703333;40.419167;01;2003-10-01;5.400
-3.703333;40.419167;01;2003-11-01;11.58
-3.703333;40.419167;01;2003-12-01;22.41
-3.703333;40.419167;06;2003-01-01;0.560
-3.703333;40.419167;06;2003-02-01;1.140
-3.703333;40.419167;06;2003-03-01;0.490
-3.703333;40.419167;06;2003-04-01;00.00N0.550
-3.703333;40.419167;06;2003-05-01;0.470
-3.703333;40.419167;06;2003-06-01;0.350
-3.703333;40.419167;06;2003-07-01;0.380
-3.703333;40.419167;06;2003-08-01;0.830
-3.703333;40.419167;06;2003-09-01;0.410
-3.703333;40.419167;06;2003-10-01;0.460
-3.703333;40.419167;06;2003-11-01;0.730
-3.703333;40.419167;06;2003-12-01;1.030
-3.703333;40.419167;08;2003-01-01;44.58
-3.703333;40.419167;08;2003-02-01;66.79
-3.703333;40.419167;08;2003-03-01;35.34
-3.703333;40.419167;08;2003-04-01;00.00N52.69
-3.703333;40.419167;08;2003-05-01;42.08
-3.703333;40.419167;08;2003-06-01;34.14
-3.703333;40.419167;08;2003-07-01;40.85
-3.703333;40.419167;08;2003-08-01;78.36
-3.703333;40.419167;08;2003-09-01;43.46
-3.703333;40.419167;08;2003-10-01;47.74
-3.703333;40.419167;08;2003-11-01;61.64
-3.703333;40.419167;08;2003-12-01;81.93
-3.703333;40.419167;10;2003-01-01;12.27
-3.703333;40.419167;10;2003-02-01;33.45
-3.703333;40.419167;10;2003-03-01;9.850
-3.703333;40.419167;10;2003-04-01;00.00N27.70
-3.703333;40.419167;10;2003-05-01;20.53
-3.703333;40.419167;10;2003-06-01;23.41
-3.703333;40.419167;10;2003-07-01;37.64
-3.703333;40.419167;10;2003-08-01;59.72
-3.703333;40.419167;10;2003-09-01;26.02
-3.703333;40.419167;10;2003-10-01;14.97
-3.703333;40.419167;10;2003-11-01;16.16
-3.703333;40.419167;10;2003-12-01;61.79
-3.703333;40.419167;12;2003-01-01;63.77
-3.703333;40.419167;12;2003-02-01;148.7
-3.703333;40.419167;12;2003-03-01;43.46
-3.703333;40.419167;12;2003-04-01;00.00N69.07
-3.703333;40.419167;12;2003-05-01;50.93
-3.703333;40.419167;12;2003-06-01;42.47
-3.703333;40.419167;12;2003-07-01;50.76
-3.703333;40.419167;12;2003-08-01;117.6
-3.703333;40.419167;12;2003-09-01;62.45
-3.703333;40.419167;12;2003-10-01;64.92
-3.703333;40.419167;12;2003-11-01;94.80
-3.703333;40.419167;12;2003-12-01;196.0
-3.703333;40.419167;14;2003-01-01;20.31
-3.703333;40.419167;14;2003-02-01;16.82
-3.703333;40.419167;14;2003-03-01;32.05
-3.703333;40.419167;14;2003-04-01;00.00N52.36
-3.703333;40.419167;14;2003-05-01;54.64
-3.703333;40.419167;14;2003-06-01;48.42
-3.703333;40.419167;14;2003-07-01;54.80
-3.703333;40.419167;14;2003-08-01;53.59
-3.703333;40.419167;14;2003-09-01;48.51
-3.703333;40.419167;14;2003-10-01;22.54
-3.703333;40.419167;14;2003-11-01;17.48
-3.703333;40.419167;14;2003-12-01;6.330
-3.712222;40.424167;01;2003-01-01;6.140
-3.712222;40.424167;01;2003-02-01;29.15
-3.712222;40.424167;01;2003-03-01;9.410
-3.712222;40.424167;01;2003-04-01;14.99
-3.712222;40.424167;01;2003-05-01;4.940
-3.712222;40.424167;01;2003-06-01;5.310
-3.712222;40.424167;01;2003-07-01;4.970
-3.712222;40.424167;01;2003-08-01;10.38
-3.712222;40.424167;01;2003-09-01;5.420
-3.712222;40.424167;01;2003-10-01;4.020
-3.712222;40.424167;01;2003-11-01;12.03
-3.712222;40.424167;01;2003-12-01;16.47
-3.712222;40.424167;06;2003-01-01;0.470
-3.712222;40.424167;06;2003-02-01;1.270
-3.712222;40.424167;06;2003-03-01;0.340
-3.712222;40.424167;06;2003-04-01;0.690
-3.712222;40.424167;06;2003-05-01;0.340
-3.712222;40.424167;06;2003-06-01;0.350
-3.712222;40.424167;06;2003-07-01;0.330
-3.712222;40.424167;06;2003-08-01;0.660
-3.712222;40.424167;06;2003-09-01;0.260
-3.712222;40.424167;06;2003-10-01;0.450
-3.712222;40.424167;06;2003-11-01;0.830
-3.712222;40.424167;06;2003-12-01;0.930
-3.712222;40.424167;08;2003-01-01;43.93
-3.712222;40.424167;08;2003-02-01;68.15
-3.712222;40.424167;08;2003-03-01;31.63
-3.712222;40.424167;08;2003-04-01;67.52
-3.712222;40.424167;08;2003-05-01;41.50
-3.712222;40.424167;08;2003-06-01;38.51
-3.712222;40.424167;08;2003-07-01;32.99
-3.712222;40.424167;08;2003-08-01;50.90
-3.712222;40.424167;08;2003-09-01;21.29
-3.712222;40.424167;08;2003-10-01;54.14
-3.712222;40.424167;08;2003-11-01;69.04
-3.712222;40.424167;08;2003-12-01;72.23
-3.712222;40.424167;10;2003-01-01;11.11
-3.712222;40.424167;10;2003-02-01;21.30
-3.712222;40.424167;10;2003-03-01;9.860
-3.712222;40.424167;10;2003-04-01;29.64
-3.712222;40.424167;10;2003-05-01;18.89
-3.712222;40.424167;10;2003-06-01;28.26
-3.712222;40.424167;10;2003-07-01;29.89
-3.712222;40.424167;10;2003-08-01;58.49
-3.712222;40.424167;10;2003-09-01;21.10
